id,name,recclass,mass_grams,year,reclat,reclong,GeoLocation
0,Aachen,L5,21.0,1880,50.775,6.08333,"(50.775, 6.08333)"
1,Aarhus,H6,720.0,1951,56.183330000000005,10.23333,"(56.18333, 10.23333)"
2,Abee,EH4,107000.0,1952,54.21666999999999,-113.0,"(54.21667, -113.0)"
3,Acapulco,Acapulcoite,1914.0,1976,16.883329999999997,-99.9,"(16.88333, -99.9)"
4,Achiras,L6,780.0,1902,-33.16667,-64.95,"(-33.16667, -64.95)"
5,Adhi Kot,EH4,4239.0,1919,32.1,71.8,"(32.1, 71.8)"
6,Adzhi-Bogdo (stone),LL3-6,910.0,1949,44.83333,95.16667,"(44.83333, 95.16667)"
7,Agen,H5,30000.0,1814,44.21667,0.6166699999999999,"(44.21667, 0.61667)"
8,Aguada,L6,1620.0,1930,-31.6,-65.23333000000001,"(-31.6, -65.23333)"
9,Aguila Blanca,L,1440.0,1920,-30.866670000000003,-64.55,"(-30.86667, -64.55)"
10,Aioun el Atrouss,Diogenite-pm,1000.0,1974,16.39806,-9.57028,"(16.39806, -9.57028)"
11,Aïr,L6,24000.0,1925,19.08333,8.38333,"(19.08333, 8.38333)"
13,Akaba,L6,779.0,1949,29.51667,35.05,"(29.51667, 35.05)"
14,Akbarpur,H4,1800.0,1838,29.71667,77.95,"(29.71667, 77.95)"
15,Akwanga,H,3000.0,1959,8.91667,8.43333,"(8.91667, 8.43333)"
16,Akyumak,"Iron, IVA",50000.0,1981,39.91667,42.81667,"(39.91667, 42.81667)"
17,Al Rais,CR2-an,160.0,1957,24.41667,39.51667,"(24.41667, 39.51667)"
18,Al Zarnkh,LL5,700.0,2001,13.660329999999998,28.96,"(13.66033, 28.96)"
19,Alais,CI1,6000.0,1806,44.11667,4.08333,"(44.11667, 4.08333)"
20,Albareto,L/LL4,2000.0,1766,44.65,11.01667,"(44.65, 11.01667)"
21,Alberta,L,625.0,1949,2.0,22.66667,"(2.0, 22.66667)"
22,Alby sur Chéran,Eucrite-mmict,252.0,2002,45.821329999999996,6.0153300000000005,"(45.82133, 6.01533)"
23,Aldsworth,LL5,700.0,1835,51.78333,-1.7833299999999999,"(51.78333, -1.78333)"
24,Aleppo,L6,3200.0,1873,36.23333,37.13333,"(36.23333, 37.13333)"
25,Alessandria,H5,908.0,1860,44.88333,8.75,"(44.88333, 8.75)"
26,Alexandrovsky,H4,9251.0,1900,50.95,31.816670000000002,"(50.95, 31.81667)"
27,Alfianello,L6,228000.0,1883,45.26667,10.15,"(45.26667, 10.15)"
28,Allegan,H5,32000.0,1899,42.53333,-85.88333,"(42.53333, -85.88333)"
29,Allende,CV3,2000000.0,1969,26.96667,-105.31667,"(26.96667, -105.31667)"
30,Almahata Sitta,Ureilite-an,3950.0,2008,20.74575,32.41275,"(20.74575, 32.41275)"
31,Alta'ameem,LL5,6000.0,1977,35.27333,44.215559999999996,"(35.27333, 44.21556)"
32,Ambapur Nagla,H5,6400.0,1895,27.66667,78.25,"(27.66667, 78.25)"
33,Andhara,Stone-uncl,2700.0,1880,26.58333,85.56667,"(26.58333, 85.56667)"
34,Andover,L6,3200.0,1898,44.61667,-70.75,"(44.61667, -70.75)"
35,Andreevka,L3,600.0,1969,48.7,37.5,"(48.7, 37.5)"
36,Andura,H6,17900.0,1939,20.883329999999997,76.86667,"(20.88333, 76.86667)"
39,Angra dos Reis (stone),Angrite,1500.0,1869,-22.96667,-44.31667,"(-22.96667, -44.31667)"
40,Ankober,H4,6500.0,1942,9.53333,39.71667,"(9.53333, 39.71667)"
41,Anlong,H5,2500.0,1971,25.15,105.18333,"(25.15, 105.18333)"
42,Aomori,L6,320.0,1984,40.810559999999995,140.78556,"(40.81056, 140.78556)"
43,Appley Bridge,LL6,15000.0,1914,53.583330000000004,-2.71667,"(53.58333, -2.71667)"
44,Apt,L6,3200.0,1803,43.86667,5.38333,"(43.86667, 5.38333)"
45,Arbol Solo,H5,810.0,1954,-33.0,-66.0,"(-33.0, -66.0)"
46,Archie,H6,5070.0,1932,38.5,-94.3,"(38.5, -94.3)"
47,Arroyo Aguiar,H5,7450.0,1950,-31.41667,-60.666669999999996,"(-31.41667, -60.66667)"
48,Asco,H6,41.0,1805,42.45,9.03333,"(42.45, 9.03333)"
49,Ash Creek,L6,9500.0,2009,31.805,-97.01,"(31.805, -97.01)"
50,Ashdon,L6,1300.0,1923,52.05,0.3,"(52.05, 0.3)"
51,Assisi,H5,2000.0,1886,43.03333,12.55,"(43.03333, 12.55)"
52,Atarra,L4,1280.0,1920,25.254170000000002,80.625,"(25.25417, 80.625)"
